,,,,,,SMA 5,SMA 10,EMA 5,EMA 10,MACD,,,WILLR,SO,FAST SO,AD,,,RS,RSI,ROC-1,ROC-2,ROC-3,ROC-5,ROC-10,MFI-1,MF-2,MFI-3,MFI-4,,
date,1. open,2. high,3. low,4. close,5. volume,,,,,EMA 26,EMA 12,TOTAL,,,,,UP MOVE,DOWN MOVE,,,,,,,,,,,,,MFI
02-01-1990,1.258929,1.339286,1.25,1.330357,45799600,,,,,,,,,,,36639269.64,,,,,,,,,,1.306547667,,,,,
03-01-1990,1.357143,1.357143,1.339286,1.339286,51998800,,,,,,,,,,,-51998800,0.008929,0,,,0.671173226,,,,,1.345238333,0.038690667,61611377.57,61611377.57,0,
04-01-1990,1.366071,1.383929,1.330357,1.34375,55378400,,,,,,,,,,,-27689200,0.004464,0,,,0.333311929,1.006722256,,,,1.352678667,0.007440333,70337667.45,70337667.45,0,
05-01-1990,1.348214,1.366071,1.321429,1.348214,30828000,,,1.34040175,,,,,,,,6165323.776,0.004464,0,,,0.332204651,0.666623858,1.342271285,,,1.345238,-0.007440667,-74497128.06,0,-74497128.06,
08-01-1990,1.339286,1.357143,1.321429,1.357143,25393200,1.34375,,1.345981609,,,,,,,,25393200,0.008929,0,,,0.662283584,0.996688372,1.333322382,,,1.345238333,3.33333E-07,41471007.34,41471007.34,0,
09-01-1990,1.357143,1.357143,1.321429,1.34375,21534800,1.3464286,,1.345237813,,,,,,,,5383398.51,0,-0.013393,,,-0.986852528,-0.331104706,0,1.006722256,,1.340774,-0.004464333,-34046542.34,0,-34046542.34,
10-01-1990,1.34375,1.34375,1.276786,1.285714,49929600,1.3357142,,1.325398526,,,,,,,,-36615835.33,0,-0.058036,,,-4.31895814,-5.26318892,-4.635762572,-4.000041813,,1.302083333,-0.038690667,-28040104.17,0,-28040104.17,
11-01-1990,1.294643,1.294643,1.232143,1.232143,52763200,1.3133928,,1.294316459,,,,,,,,-52763200,0,-0.053571,,,-4.166634259,-8.305637209,-9.210525346,-8.305637209,,1.252976333,-0.049107,-62560607.13,0,-62560607.13,
12-01-1990,1.223214,1.241071,1.205357,1.232143,42974400,1.2901786,,1.273594045,1.3125,,,,,,,21488403.29,0,0,,,0,-4.166634259,-8.305637209,-8.60924156,,1.226190333,-0.026786,-64697725.8,0,-64697725.8,
15-01-1990,1.232143,1.276786,1.223214,1.223214,40434800,1.2633928,1.3035714,1.256802376,1.296267805,,,,,,,-40434800,0,-0.008929,,,-0.72467238,-0.72467238,-4.861112191,-9.868451593,,1.241071333,0.014881,53334295.91,53334295.91,0,
16-01-1990,1.196429,1.25,1.169643,1.245536,53561200,1.24375,1.2950893,1.253047293,1.287044763,,1.298295455,,,,,47610325.86,0.022322,0,,,1.82486466,1.08696799,1.08696799,-7.308948837,-6.375807396,1.221726333,-0.019345,-49400259.94,0,-49400259.94,
17-01-1990,1.241071,1.241071,1.178571,1.1875,49324800,1.2241072,1.2799107,1.23120038,1.268947525,,1.281255114,,,,,-35231323.55,0,-0.058036,,,-4.659520078,-2.919685354,-3.62319958,-7.638868364,-11.33335225,1.202380667,-0.019345667,-64400951.36,0,-64400951.36,
18-01-1990,1.178571,1.196429,1.151786,1.15625,68322800,1.2089286,1.2611607,1.206219419,1.248459115,,1.262029327,,,,,-54659158.26,0,-0.03125,,,-2.631578947,-7.168480076,-5.474430476,-6.15943117,-13.95348837,1.168155,-0.034225667,-57619011.74,0,-57619011.74,
19-01-1990,1.205357,1.232143,1.196429,1.223214,66284400,1.2071428,1.2486607,1.211883713,1.243869553,,1.25605953,,-69.23103432,30.76896568,,33140344.02,,0,,,5.791481081,3.007494737,-1.792160162,-0.72467238,-9.271525144,1.217262,0.049107,83166748.17,83166748.17,0,
22-01-1990,1.214286,1.232143,1.1875,1.1875,36402800,1.2,1.2316964,1.203756621,1.233621568,,1.245515074,,-84.61551716,15.38448284,,-36402800,0,-0.035714,0.189658169,15.9422407,-2.919685354,2.702702703,0,-2.919685354,-12.50000921,1.202381,-0.014881,-79699103.16,0,-79699103.16,-151.1512811
