,,,,,,SMA 5,SMA 10,EMA 5,EMA 10,MACD,,,WILLR,SO,FAST SO,AD,,,RS,RSI,ROC-1,ROC-2,ROC-3,ROC-5,ROC-10,MFI-1,MF-2,MFI-3,MFI-4,,
date,1. open,2. high,3. low,4. close,5. volume,,,,,EMA 26,EMA 12,TOTAL,,,,,UP MOVE,DOWN MOVE,,,,,,,,,,,,,MFI
02-01-1990,0.605903,0.616319,0.59809,0.616319,53033600,,,,,,,,,,,53033600,,,,,,,,,,0.610242667,,,,,
03-01-1990,0.621528,0.626736,0.614583,0.619792,113772800,,,,,,,,,,,-16242558.05,0.003473,0,,,0.563506885,,,,,0.620370333,0.010127667,32900472.11,32900472.11,0,
04-01-1990,0.619792,0.638889,0.616319,0.638021,125740800,,,,,,,,,,,116069287.9,0.018229,0,,,2.941147998,3.521228455,,,,0.631076333,0.010706,71799321.46,71799321.46,0,
05-01-1990,0.635417,0.638889,0.621528,0.622396,69564800,,,0.624132,,,,,,,,-62608720.7,0,-0.015625,,,-2.448978952,0.420140951,0.986015359,,,0.627604333,-0.003472,-78915470.96,0,-78915470.96,
08-01-1990,0.621528,0.631944,0.614583,0.631944,58982400,0.6256944,,0.62673574,,,,,,,,58982400,0.009548,0,,,1.534071556,-0.952476486,1.960657769,,,0.626157,-0.001447333,-43558486.47,0,-43558486.47,
09-01-1990,0.631944,0.638889,0.626736,0.630208,70300800,0.6284722,,0.627893044,,,,,,,,-30132219.8,0,-0.001736,,,-0.274707886,1.255149455,-1.224567843,2.25354078,,0.631944333,0.005787333,37273593.45,37273593.45,0,
10-01-1990,0.625,0.633681,0.611979,0.612847,103766400,0.6270832,,0.622878198,,,,,,,,-95465853.03,0,-0.017361,,,-2.754804763,-3.021944982,-1.534232225,-1.120537212,,0.619502333,-0.012442,-43551509.64,0,-43551509.64,
11-01-1990,0.616319,0.621528,0.590278,0.600694,95772800,0.6196178,,0.615484204,,,,,,,,-31928352.97,0,-0.012153,,,-1.983039813,-4.6832157,-4.945058423,-5.85043439,,0.604166667,-0.015335667,-62692200,0,-62692200,
12-01-1990,0.591146,0.605903,0.583333,0.59809,148908800,0.6147566,,0.609686716,0.618923444,,,,,,,45814032.22,0,-0.002604,,,-0.433498587,-2.40794195,-5.096412613,-3.905230753,,0.595775333,-0.008391333,-57059071.84,0,-57059071.84,
15-01-1990,0.595486,0.604167,0.592014,0.59809,62467200,0.6079858,0.6168401,0.605821531,0.615135924,,,,,,,-5140.064182,0,0,,,0,-0.433498587,-2.40794195,-5.357120251,,0.598090333,0.002315,89060913.83,89060913.83,0,
16-01-1990,0.59375,0.619792,0.586806,0.616319,80092800,0.605208,0.6168401,0.609320337,0.615351007,,0.616792727,,,,,63227324.08,0.018229,0,,,3.04786905,3.04786905,2.601157994,-2.203875546,0,0.607639,0.009548667,37957506.94,37957506.94,0,
17-01-1990,0.611111,0.628472,0.604167,0.607639,97587200,0.6041664,0.6156248,0.608759947,0.613948964,,0.615384884,,,,,-69706290.03,0,-0.00868,,,-1.408361579,1.596582454,1.596582454,-0.849804274,-1.960819114,0.613426,0.005787,49131005.93,49131005.93,0,
18-01-1990,0.622396,0.659722,0.621528,0.659722,292361600,0.615972,0.6177949,0.6257456,0.622270502,,0.622203932,,,,,292361600,0.052083,0,,,8.571372147,7.042294656,10.30480362,9.82663386,3.401298703,0.646990667,0.033564667,63138007.59,63138007.59,0,
19-01-1990,0.661458,0.666667,0.649306,0.653646,99257600,0.6270832,0.6209199,0.635044803,0.627974568,,0.627039722,,-15.625075,84.374925,,-49631658.64,,-0.006076,,,-0.920993994,7.57143633,6.056441551,9.288903008,5.020919158,0.656539667,0.009549,191946987.4,191946987.4,0,
22-01-1990,0.652778,0.652778,0.628472,0.630208,167686400,0.6335068,0.6207463,0.633432697,0.628380606,,0.627527004,,-43.75045,56.24955,,-143733171.1,0,-0.023438,1.158418213,53.66977568,-3.58573295,-4.47370256,3.714211892,5.370094802,-0.274707886,0.637152667,-0.019387,-63242244.53,0,-63242244.53,255.6808119
23-01-1990,0.631944,0.633681,0.619792,0.623264,139347200,0.6348958,0.6200519,0.63004347,0.627450407,,0.626871354,,-52.08318333,47.91681667,62.84709722,-69678616.46,0,-0.006944,1.036695308,50.90085415,-1.101858434,-4.648081683,-5.526267125,1.126851517,-1.101858434,0.625579,-0.011573667,-104901090.4,0,-104901090.4,625.4479184
24-01-1990,0.611111,0.630208,0.605035,0.630208,180345600,0.6394096,0.621788,0.630098308,0.627951737,,0.62738453,,-43.75045,56.24955,53.47197222,180345600,0.006944,0,0.917424987,47.84672116,1.11413462,0,-3.58573295,3.714211892,2.832844087,0.621817,-0.003762,-86648457.86,0,-86648457.86,-650.1591126
